,t2m_norm_adj
count,447072.0
mean,-1.4748936609435907e-16
std,1.0000000000000024
min,-2.7422543208494066
25%,-0.8221827906880086
50%,0.0025580751025161552
75%,0.803756955804459
max,2.560534924887331
